Indicator,Country,Year,Value
"Out-of-school children of primary school age, both sexes (number)",Western Asia and Northern Africa,2014,5887996
"Out-of-school children of primary school age, both sexes (number)",Western Asia and Northern Africa,2015,5796756
"Out-of-school children of primary school age, both sexes (number)",Western Asia and Northern Africa,2016,5748185
"Out-of-school children of primary school age, female (number)",Western Asia and Northern Africa,2000,4903707
"Out-of-school children of primary school age, female (number)",Western Asia and Northern Africa,2001,4527307
"Out-of-school children of primary school age, female (number)",Western Asia and Northern Africa,2002,4222588
"Out-of-school children of primary school age, female (number)",Western Asia and Northern Africa,2003,3899574
"Out-of-school children of primary school age, female (number)",Western Asia and Northern Africa,2004,3711410
"Out-of-school children of primary school age, female (number)",Western Asia and Northern Africa,2005,3658554
"Out-of-school children of primary school age, female (number)",Western Asia and Northern Africa,2006,3546302
"Out-of-school children of primary school age, female (number)",Western Asia and Northern Africa,2007,3138170
"Out-of-school children of primary school age, female (number)",Western Asia and Northern Africa,2008,2912290
"Out-of-school children of primary school age, female (number)",Western Asia and Northern Africa,2009,2861613
"Out-of-school children of primary school age, female (number)",Western Asia and Northern Africa,2010,2602631
"Out-of-school children of primary school age, female (number)",Western Asia and Northern Africa,2011,2785219
"Out-of-school children of primary school age, female (number)",Western Asia and Northern Africa,2012,2652061
"Out-of-school children of primary school age, female (number)",Western Asia and Northern Africa,2013,2912788
"Out-of-school children of primary school age, female (number)",Western Asia and Northern Africa,2014,3091591
"Out-of-school children of primary school age, female (number)",Western Asia and Northern Africa,2015,3057987
"Out-of-school children of primary school age, female (number)",Western Asia and Northern Africa,2016,2994182
"Out-of-school children of primary school age, female (number)",Africa (Northern),2000,2735074
"Out-of-school children of primary school age, female (number)",Africa (Northern),2001,2521666
"Out-of-school children of primary school age, female (number)",Africa (Northern),2002,2322569
"Out-of-school children of primary school age, female (number)",Africa (Northern),2003,2184295
"Out-of-school children of primary school age, female (number)",Africa (Northern),2004,2037316
"Out-of-school children of primary school age, female (number)",Africa (Northern),2005,2068626
"Out-of-school children of primary school age, female (number)",Africa (Northern),2006,2025080
"Out-of-school children of primary school age, female (number)",Africa (Northern),2007,1734842
"Out-of-school children of primary school age, female (number)",Africa (Northern),2008,1564546
"Out-of-school children of primary school age, female (number)",Africa (Northern),2009,1531025
"Out-of-school children of primary school age, female (number)",Africa (Northern),2010,1434711
"Out-of-school children of primary school age, female (number)",Africa (Northern),2011,1698525
"Out-of-school children of primary school age, female (number)",Africa (Northern),2012,1546509
"Out-of-school children of primary school age, female (number)",Africa (Northern),2013,1498411
"Out-of-school children of primary school age, female (number)",Africa (Northern),2014,1519798
"Out-of-school children of primary school age, female (number)",Africa (Northern),2015,1491937
"Out-of-school children of primary school age, female (number)",Africa (Northern),2016,1355730
